university_name,review_timestamp,keywords,sentiment,text
university of amsterdam,1698973324,"""learners,new,platform,talen,uva""",POSITIVE,i have passed my exams b\ni am very thankful to my best teachers whos teaches me very nicely\nuva talen is a best platform for new learners
fudan university,1698973279,"""great,library,view,nice,visit""",POSITIVE,just visit nice view and the library is also great
university of british columbia,1698973328,"""theatres,beaches,memories,walk,great""",MIXED,i think its one of the most beautiful university campus in the world but i guess im biased as i went there  to  so many changes since then but great to walk around with all the memories the beaches and the theatres
university of british columbia,1698973329,"""garden,rose,ubc,theres,oh""",POSITIVE,i like this place and because this place is so big it makes the place so beautiful and good and even though i dont go to school here i still come here to see the beautiful campus and views oh and also theres an ubc rose garden here its beautiful
australian national university,1698973273,"""remove,needs,university,paramountthis,control""",NEGATIVE,disgusting a prof denise ferris spitting on a no voter spitting disgusting act and in a time infection control has been paramountthis university needs to remove her
university of nottingham,1698973378,"""life,day,modern,living,nature""",POSITIVE,its a beautiful university and one of the top ones in all of uk the campuses are extremely pretty with lush green parks tress everywhere and lakes youll see so many birds and animals around you ducks pigeons geese and deer its crazy to be here is to be in the midst of nature while still living a modern day life
university of nottingham,1698973384,"""halls,campus,including,restrictions,parties""",MIXED,beautiful architecture and grounds but this place has a massive discipline problem during the pandemic its students bad behaviour was responsible for spreading covid around the city and surrounding areas and then their vice chancellor came on tv defending their students instead of taking action either suspending or expelling them they were still having parties during restrictions including in campus halls
lund university,1698973298,"""university,lund,choose,recommend,atmosphere""",POSITIVE,its a very beautiful and special college for me because i studied here and i love the atmosphere so i would recommend everyone to choose my lund university
massachusetts institute of technology (mit),1698973298,"""future,shaping,role,history,rich""",POSITIVE,during my recent visit to mit i was immersed in an atmosphere of cuttingedge innovation and intellectual curiosity the campus buzzed with energy as students hurried between impressive buildings that housed advanced laboratories and lecture halls engaging discussions with faculty members highlighted the institutions commitment to pushing the boundaries of knowledge the palpable sense of collaboration and the sight of students deeply engaged in their projects underscored mits reputation as a hub for technological advancement witnessing the iconic great dome and exploring the vibrant surrounding area added to the experience leaving me inspired by the institutions rich history and its role in shaping the future
massachusetts institute of technology (mit),1698973299,"""technologies,new,available,platform,admission""",POSITIVE,no doubt one of the best institute in the world great infrastructure for both students as well as for faculty and researchers its a dream comes true if you get admission here  platform are available for all new technologies
massachusetts institute of technology (mit),1698973302,"""college,apply,want,students,goals""",POSITIVE,awesome excellent tour university and excellent presentation about mti and their goals for students who want to apply for college
university of bristol,1698973328,"""excellent,chloe,nurse,personal,surroundings""",POSITIVE,my first experience of chemotherapy and it couldnt have been better it was a long day but well organised very pleasant surroundings and my personal nurse chloe was excellent
university of manchester,1698973353,"""beautiful,vibrant,campus,buildings,loved""",POSITIVE,loved the buildings and campus vibrant and beautiful
university of manchester,1698973356,"""study,group,website,using,rooms""",POSITIVE,one of the greatest universities in the uk i had had just an english course by the end of  students are more polite and most of them from china i have got a lot from this university and recommend to choose to have excellent skills by the way the library of allen gilbert is opened  hours and there you can book separate rooms by using their own website for group study
ludwig maximilians universitat munchen,1698973298,"""artists,floor,upper,required,owners""",NEUTRAL,one of the two big universities of munich and is supposed to be one of the best universities in germany you can study for free at any age it has a lot of different faculties in natural science and humanities it is famous for sophie and hans scholl having studied there during the ns regime the siblings were part of a group called weie rose which distributed flyers with information about the regime you can still see their statue in the main hall of the university and their flyers in stone in the ground in front of the building there is also a museum about them in the university the different faculties and buildings are spread throughout munich hosting about  students most of them are in the area of schwabing and englischer garten where many students relax during breaks behind the main building there are many cafes restaurants bars galleries and book shops it used to be an artistic area where home owners were required to give their upper floor to artists
university of liverpool,1698973350,"""students,perfect,city,uk,cities""",NEUTRAL,university of liverpool uol known as the uni of and the original red brick university since \nsituated in the heart of the knowledge quarter close to the university hospital liverpool the clatterbridge cancer centre the liverpool school of tropical medicine and the liverpool metropolitan cathedral the uni of plays a major part in the fabric of one of the most cosmopolitan vibrant exciting and friendly cities in the uk a city perfect for students
university of liverpool,1698973351,"""students,subjects,passionate,appeared,academic""",POSITIVE,visited for an open day impressed with facilities and staff academic staff appeared passionate about their subjects and students
"""university of california, davis (ucd)""",1698973332,"""outdated,buildings,terrible,roads,sports""",MIXED,campus is wonderful filled with natural scenery and beloved by students for many opportunities such as clubs and sports however the roads are terrible and some buildings seem outdated
kyoto university,1698973295,"""bit,just,visit,came,glad""",POSITIVE,i went to school here back in  and its still one of the best experiences ive ever had kyoto university was a wonderful place to learn japanese culture meet new friends and the field trips they held were some of my most treasured memories thank you kyodai glad i came back to visit even just for a bit
university of oslo,1698973386,"""technology,sensor,microelectronics,masters,student""",POSITIVE,one of the finest unis in europe with students and professors from all over the world to learn and excel with  knit like a family i study here\ninternational student masters in microelectronics and sensor technology
university of oslo,1698973388,"""aint,certainly,place,efforts,appreciates""",MIXED,theres plenty of great people in the teaching and research staff but the administration is a mess and the maintenance people will yell at you if you ask them to fix anything and if you are wondering whether any of their policies are exploitative towards visiting or scholarship researchers the answers always going to be yes if you have your own funding its better to take your reasearch to an institution that appreciates your efforts this place certainly aint it
university of oslo,1698973391,nice,POSITIVE,very nice
university of sydney,1698973426,"""visit,world,beautiful,realize,cam""",POSITIVE,this univ is near victoria park so we also feel very peaceful day here\n\nuniv was really active we visited here during weekday so many students were studying\nwe really envy cuz these students here study in such wonderful university\n\ni cam realize why this university is top beautiful university in the world after this visit
university of sydney,1698973432,"""celebrate,lets,days,autumns,magical""",POSITIVE,a beautiful day for a bachelors degree in business magical autumns days lets celebrate
university of sydney,1698973433,"""mustsee,inside,architecture,sky,blue""",POSITIVE,it was one of the most beautiful buildings in sydney with the blue sky and the architecture you can even go inside so its a mustsee
university of wisconsin madison,1698973466,"""shops,student,bistros,little,interesting""",POSITIVE,beautiful campus with magnificent lake views adjacent along one side  there is a visitor center near the quad and the union terrace is a must see  enjoy a hot coffee while taking in beautiful views of the lake  state street which runs from the campus up to the capitol building is also bustling with all sorts of interesting little bistros and student shops
university of wisconsin madison,1698973469,"""madison,capitol,resources,lots,nature""",POSITIVE,this college is so neat the campus is so pretty along the lake with all sorts of activities theres so many cool building and academic centers for students like me to research topics i only toured it for  min but it has wonderful nature and lots of resources in the capitol madison
university of wisconsin madison,1698973470,"""life,viscicitudes,wade,truth,discern""",MIXED,one of the great land grant universities  buckle up and learn stuff  if at some point you are not confused frustrated or having your feelings hurt you are not getting your moneys worth but you will for sure come out the other end stronger more mature more knowledgeable more rational more sensative and better able to discern truth and to wade through the viscicitudes of life
university of queensland,1698973401,"""university,attending,comparable,winters,harsh""",POSITIVE,"""damn this is a very nice campus its so well manicured and well maintained everywhere you go its nice and scenic and so many spots you can sit and relax and enjoy the sights and sounds where i come from due to harsh winters its not comparable i would enjoy attending this university """
university of queensland,1698973404,"""museum,art,facilities,great,staff""",POSITIVE,fantastic school full of kind staff and great facilities their art museum is also fantastic
stanford university,1698973316,"""fall,happen,gonna,whats,guess""",POSITIVE,the architecture is phenomenal  loved the church  the arena and the labs  its summer  so lucky me plenty of parking around  pm on a wednesday so guess whats gonna happen in the fall
university of copenhagen,1698973339,"""place,amazing,seating,uncomfortable,hall""",POSITIVE,beautiful historical building gorgeous conference hall uncomfortable seating amazing place
university of copenhagen,1698973340,"""delighted,sitting,artist,like,feel""",POSITIVE,i feel like an artist when sitting here it made me delighted
university of copenhagen,1698973341,"""features,key,institutions,cultural,museums""",NEUTRAL,copenhagen university is a prestigious public research university in copenhagen denmark founded in  it is the secondoldest university in scandinavia after uppsala university\n\nthe university has six faculties\n\n the faculty of health and medical sciences\n the faculty of science\n the faculty of humanities\n the faculty of social sciences\n the faculty of law\n the faculty of theology\n\nthe university offers a wide range of undergraduate and postgraduate programs both in danish and english it is also home to a number of research centers and institutes\n\ncopenhagen university is a highly ranked university and is consistently ranked among the top  universities in the world it is also a popular choice for international students with over  international students enrolled\n\nthe university is located in the heart of copenhagen and is easily accessible by public transportation the campus is also home to a number of museums and cultural institutions\n\nhere are some of the key features of copenhagen university\n\n founded in \n secondoldest university in scandinavia\n six faculties\n wide range of undergraduate and postgraduate programs\n highly ranked university\n popular choice for international students\n located in the heart of copenhagen
university of pennsylvania,1698973394,"""lucky,student,motivated,people,successful""",POSITIVE,i liked it a lot more than i expected it has this interesting vibe of a very old university the architecture is massive and pretty eclectic but there is some unexplained charm in walking through its wide alleys located close to the center finding street parking wasnt too difficult\n\nof course this is also the legendary ivy league school where trump noam chomsky and elon musk studied this school produced a great amount of super successful people and any motivated student would be very lucky to go here
university of pennsylvania,1698973398,"""columbia,princeton,contest,states,united""",NEUTRAL,the university of pennsylvania penn or upenn is a private ivy league research university located in the university city section of west philadelphia it has been ranked as among the top universities in the us and the world by numerous major education publications university of pennsylvania considers itself the fourtholdest institution of higher education in the united states though this is contest by princeton and columbia universities
university of pennsylvania,1698973401,"""journey,educational,transformative,embark,setting""",NEUTRAL,the university of pennsylvanias campus is a vibrant blend of historic charm and modern innovation nestled in the heart of philadelphia upenns sprawling grounds are adorned with elegant redbrick buildings that exude a sense of academic tradition the lush green spaces such as the iconic college green and locust walk create an inviting atmosphere for students to engage in both intellectual pursuits and social interactions the campus is dotted with cuttingedge facilities and stateoftheart research centers fostering an environment where innovation and collaboration thrive with its rich history architectural beauty and forwardthinking spirit upenns campus offers a dynamic setting for students to embark on a transformative educational journey
new york university (nyu),1698973308,"""topnotch,programs,party,nyc,live""",POSITIVE,its a great institution but their alumni are often saddled with massive debt but hey its an awesome school if you have money its definitely worth it to live in nyc party and go to school their programs are topnotch
zhejiang university,1698973486,"""nicw,view,nice,statue,president""",POSITIVE,i have a lot of memories in this place university are open for tourists come in side and  see big mao president statue nice view nicw memories
zhejiang university,1698973489,"""late,till,open,shops,convenience""",POSITIVE,had a stay here in april  during an esperanto festival it was great and living on campus is just fine you can move around by foot or bike as the area is really calm and free from the noise of car traffic also convenience shops are open till late all across the campus
zhejiang university,1698973493,"""campus,money,want,drink,eat""",NEUTRAL,everything in one university you can study here have fun eat drink do whatever you want if you have enough money everything in one campus
yonsei university,1698973483,"""months,colder,beautiful,feel,gate""",POSITIVE,the place i called home for two years i did my masters here\n\ncampus vibe is definitely elite  speaks glamour and posh has a nice western facade which can be seen a few minutes from the main gate campus is i feel most beautiful during the colder months
yonsei university,1698973486,"""quickly,push,study,hours,library""",MIXED,seriously my biggest dream is to get into this university i want it so much but im very afraid of not being able to get in im in the first year of high school right now and my grades are average but my math is very bad i regret not having studied math from the beginning i cant explain it if i dont start now it will be very difficult to recover later even if i have to stay in the library for hours and study i will push it i cant give up on my dream so quickly
university of southampton,1698973417,"""picture,click,university,rock,iconic""",MIXED,decent campus but didnt find the iconic rock with the university name to click a picture
university of southampton,1698973419,"""center,test,covid,walk,organized""",POSITIVE,super efficient well organized walk in covid test center
seoul national university (snu),1698973315,"""mountain,higher,buildings,seoul,views""",POSITIVE,beautiful university campus great views of seoul from buildings higher on the mountain
mcgill university,1698973302,"""library,redpath,look,outside,architecture""",POSITIVE,the campus is so gorgeous especially on a sunny day we came on a sunday so a lot of the buildings were closed but we were still able to enjoy the architecture from the outside as well as take a look in the redpath library
lomonosov moscow state university,1698973295,"""admirable,study,opportunity,wish""",NEGATIVE,i wish i had the opportunity to study here admirable
carnegie mellon university,1698973274,"""beautiful,campus,design,technology,geospatial""",POSITIVE,i taught here for half a day but ive known faculty here for years their programs are topnotch interdisciplinary and encourage problem solving and critical thinking they also have a keen focus on geospatial technology design and much more  but the campus also is beautiful
university of amsterdam,1698973322,"""time,great,couches,slept,campus""",POSITIVE,nice campus slept on one if their couches had a great time
university of amsterdam,1698973324,"""learners,new,platform,talen,uva""",POSITIVE,i have passed my exams b\ni am very thankful to my best teachers whos teaches me very nicely\nuva talen is a best platform for new learners
fudan university,1698973279,"""great,library,view,nice,visit""",POSITIVE,just visit nice view and the library is also great
university of british columbia,1698973328,"""theatres,beaches,memories,walk,great""",MIXED,i think its one of the most beautiful university campus in the world but i guess im biased as i went there  to  so many changes since then but great to walk around with all the memories the beaches and the theatres
university of british columbia,1698973329,"""garden,rose,ubc,theres,oh""",POSITIVE,i like this place and because this place is so big it makes the place so beautiful and good and even though i dont go to school here i still come here to see the beautiful campus and views oh and also theres an ubc rose garden here its beautiful
australian national university,1698973273,"""remove,needs,university,paramountthis,control""",NEGATIVE,disgusting a prof denise ferris spitting on a no voter spitting disgusting act and in a time infection control has been paramountthis university needs to remove her
university of nottingham,1698973378,"""life,day,modern,living,nature""",POSITIVE,its a beautiful university and one of the top ones in all of uk the campuses are extremely pretty with lush green parks tress everywhere and lakes youll see so many birds and animals around you ducks pigeons geese and deer its crazy to be here is to be in the midst of nature while still living a modern day life
university of nottingham,1698973384,"""halls,campus,including,restrictions,parties""",MIXED,beautiful architecture and grounds but this place has a massive discipline problem during the pandemic its students bad behaviour was responsible for spreading covid around the city and surrounding areas and then their vice chancellor came on tv defending their students instead of taking action either suspending or expelling them they were still having parties during restrictions including in campus halls
lund university,1698973298,"""university,lund,choose,recommend,atmosphere""",POSITIVE,its a very beautiful and special college for me because i studied here and i love the atmosphere so i would recommend everyone to choose my lund university
massachusetts institute of technology (mit),1698973298,"""future,shaping,role,history,rich""",POSITIVE,during my recent visit to mit i was immersed in an atmosphere of cuttingedge innovation and intellectual curiosity the campus buzzed with energy as students hurried between impressive buildings that housed advanced laboratories and lecture halls engaging discussions with faculty members highlighted the institutions commitment to pushing the boundaries of knowledge the palpable sense of collaboration and the sight of students deeply engaged in their projects underscored mits reputation as a hub for technological advancement witnessing the iconic great dome and exploring the vibrant surrounding area added to the experience leaving me inspired by the institutions rich history and its role in shaping the future
massachusetts institute of technology (mit),1698973299,"""technologies,new,available,platform,admission""",POSITIVE,no doubt one of the best institute in the world great infrastructure for both students as well as for faculty and researchers its a dream comes true if you get admission here  platform are available for all new technologies
massachusetts institute of technology (mit),1698973302,"""college,apply,want,students,goals""",POSITIVE,awesome excellent tour university and excellent presentation about mti and their goals for students who want to apply for college
university of bristol,1698973328,"""excellent,chloe,nurse,personal,surroundings""",POSITIVE,my first experience of chemotherapy and it couldnt have been better it was a long day but well organised very pleasant surroundings and my personal nurse chloe was excellent
university of manchester,1698973353,"""beautiful,vibrant,campus,buildings,loved""",POSITIVE,loved the buildings and campus vibrant and beautiful
university of manchester,1698973356,"""study,group,website,using,rooms""",POSITIVE,one of the greatest universities in the uk i had had just an english course by the end of  students are more polite and most of them from china i have got a lot from this university and recommend to choose to have excellent skills by the way the library of allen gilbert is opened  hours and there you can book separate rooms by using their own website for group study
ludwig maximilians universitat munchen,1698973298,"""artists,floor,upper,required,owners""",NEUTRAL,one of the two big universities of munich and is supposed to be one of the best universities in germany you can study for free at any age it has a lot of different faculties in natural science and humanities it is famous for sophie and hans scholl having studied there during the ns regime the siblings were part of a group called weie rose which distributed flyers with information about the regime you can still see their statue in the main hall of the university and their flyers in stone in the ground in front of the building there is also a museum about them in the university the different faculties and buildings are spread throughout munich hosting about  students most of them are in the area of schwabing and englischer garten where many students relax during breaks behind the main building there are many cafes restaurants bars galleries and book shops it used to be an artistic area where home owners were required to give their upper floor to artists
university of liverpool,1698973350,"""students,perfect,city,uk,cities""",NEUTRAL,university of liverpool uol known as the uni of and the original red brick university since \nsituated in the heart of the knowledge quarter close to the university hospital liverpool the clatterbridge cancer centre the liverpool school of tropical medicine and the liverpool metropolitan cathedral the uni of plays a major part in the fabric of one of the most cosmopolitan vibrant exciting and friendly cities in the uk a city perfect for students
university of liverpool,1698973351,"""students,subjects,passionate,appeared,academic""",POSITIVE,visited for an open day impressed with facilities and staff academic staff appeared passionate about their subjects and students
"""university of california, davis (ucd)""",1698973332,"""outdated,buildings,terrible,roads,sports""",MIXED,campus is wonderful filled with natural scenery and beloved by students for many opportunities such as clubs and sports however the roads are terrible and some buildings seem outdated
kyoto university,1698973295,"""bit,just,visit,came,glad""",POSITIVE,i went to school here back in  and its still one of the best experiences ive ever had kyoto university was a wonderful place to learn japanese culture meet new friends and the field trips they held were some of my most treasured memories thank you kyodai glad i came back to visit even just for a bit
university of oslo,1698973386,"""technology,sensor,microelectronics,masters,student""",POSITIVE,one of the finest unis in europe with students and professors from all over the world to learn and excel with  knit like a family i study here\ninternational student masters in microelectronics and sensor technology
university of oslo,1698973388,"""aint,certainly,place,efforts,appreciates""",MIXED,theres plenty of great people in the teaching and research staff but the administration is a mess and the maintenance people will yell at you if you ask them to fix anything and if you are wondering whether any of their policies are exploitative towards visiting or scholarship researchers the answers always going to be yes if you have your own funding its better to take your reasearch to an institution that appreciates your efforts this place certainly aint it
university of oslo,1698973391,nice,POSITIVE,very nice
university of sydney,1698973426,"""visit,world,beautiful,realize,cam""",POSITIVE,this univ is near victoria park so we also feel very peaceful day here\n\nuniv was really active we visited here during weekday so many students were studying\nwe really envy cuz these students here study in such wonderful university\n\ni cam realize why this university is top beautiful university in the world after this visit
university of sydney,1698973432,"""celebrate,lets,days,autumns,magical""",POSITIVE,a beautiful day for a bachelors degree in business magical autumns days lets celebrate
university of sydney,1698973433,"""mustsee,inside,architecture,sky,blue""",POSITIVE,it was one of the most beautiful buildings in sydney with the blue sky and the architecture you can even go inside so its a mustsee
university of wisconsin madison,1698973466,"""shops,student,bistros,little,interesting""",POSITIVE,beautiful campus with magnificent lake views adjacent along one side  there is a visitor center near the quad and the union terrace is a must see  enjoy a hot coffee while taking in beautiful views of the lake  state street which runs from the campus up to the capitol building is also bustling with all sorts of interesting little bistros and student shops
university of wisconsin madison,1698973469,"""madison,capitol,resources,lots,nature""",POSITIVE,this college is so neat the campus is so pretty along the lake with all sorts of activities theres so many cool building and academic centers for students like me to research topics i only toured it for  min but it has wonderful nature and lots of resources in the capitol madison
university of wisconsin madison,1698973470,"""life,viscicitudes,wade,truth,discern""",MIXED,one of the great land grant universities  buckle up and learn stuff  if at some point you are not confused frustrated or having your feelings hurt you are not getting your moneys worth but you will for sure come out the other end stronger more mature more knowledgeable more rational more sensative and better able to discern truth and to wade through the viscicitudes of life
university of wisconsin madison,1698973473,"""badgers,walk,nostalgic,arch,randall""",NEUTRAL,union south at the university of wisconsin is the place to be prior to uw home football games the marching band makes an arrival about an hour before kickoff and showcases the incredible talents of one the countrys best college bands enjoy a new glarus spotted cow beer and loaded brat and youll think youre in heaven well maybe its just madison but its about as perfect it is gets then join the band for short march under the camp randall arch for a nostalgic walk into the home of the badgers
"""nanyang technological university, singapore (ntu)""",1698973303,"""shalom,ntu,welcome,sighted,otters""",POSITIVE,ntus campus is blessed with its own beauty of hilly landscapes and green nature surrounds the colleges\n\nits a breathtaking experience for a beautiful morning walk especially at the same time get to enjoy the rich biodiversity of flora and fauna that refresh our body and soul most importantly not only that it attracts a wide range of wildlife longtailed macaques wild boars  and more recently otters have been sighted on campus as well\n\nwelcome to ntu\n\nshalom
"""nanyang technological university, singapore (ntu)""",1698973306,"""recommended,highly,travel,beauty,lies""",POSITIVE,it was an amazing experience going to ntu open house  yesterday student ambassadors were really friendly and everything seemed to be executed in clockwork style starting from the shuttle buses that ferried us from jurong east mrt to the campus itself i had an amazing time with the tours free concerts  photobooth and many many more\n\nmany may regard ntu as pulau ntu because of its location away from most of singapore it has its charms in my humble opinion ranging from the dim sum building to the nanyang lake and the many greenery that surrounds and fills the campus another plus point for being relatively inaccessible is that theres lower foot traffic on most days which gives peace and tranquility to its occupants therein lies its beauty  you have to travel to see it highly recommended
university of groningen,1698973345,"""beautiful,interior,university,legacy,history""",POSITIVE,explains a lot of history and legacy of the university the interior is so beautiful
university of groningen,1698973346,"""charming,atmosphere,outsider,hard,lot""",POSITIVE,one of the oldest universities in netherlands i visited the campus to attend a seminar its huge the parking lot hard to find for an outsider still the atmosphere here is very charming
"""university of california, los angeles (ucla)""",1698973334,"""campus,roaming,people,homeless,number""",MIXED,beautiful and very spacious university outstanding facilities as well however a number of homeless people are roaming around the campus
"""university of california, los angeles (ucla)""",1698973335,"""diverse,facilities,conference,huge,presence""",POSITIVE,what an amazing urban campus lots of buildings clean roads organized traffic lots of green patches campus buses birds and bikes to get around police presence huge conference facilities and so diverse
osaka university,1698973310,"""space,lack,instruments,old,using""",MIXED,good pretty nice in spring but some labs are not that much sophisticated using old instruments lack of space etc
university of cambridge,1698973337,"""contribute,cambridge,studying,students,information""",POSITIVE,great campus you should definitely do the punting tour tour fee adult  pound children  pound with the tour you get information from students studying at cambridge and contribute to them
university of cambridge,1698973338,"""friendly,classy,behave,people,lot""",POSITIVE,one of the most beautiful universities in the entire world what i liked a lot is that people there behave very classy but friendly
university college london (ucl),1698973320,"""blame,ucl,staying,traveling,fee""",POSITIVE,a very good university being in london certainly makes it difficult to have a super large campus but it gives you pretty much all you need as a uni student student centre is perfect for all activities solo duo group study or meeting just sit and chill is also fine connected to garden and main campus gives a intergrated experience of life learn and revise majority of academic and staff are nice and helpful willing to give show you light of latest area in science only issue is expensive living cost tuition fee traveling and staying in london etc but ucl should not take all of the blame
king's college london,1698973287,"""studies,mankind,help,thoughts,productive""",POSITIVE,beautiful college that produces notable alumnis that influence the world with their innovative and productive thoughts to help mankind and studies
king's college london,1698973294,"""life,walks,welcome,wished,vault""",NEUTRAL,this review is about kings college london which is a public research university and located in london it was adream come true to finally see and visit this place while spending time with family in the uk with bit research i found that the college is selective which means in every few hundred few get selected its one of the most prestigious faculties of its kind it was ranked th in the uk the college is open to tourists local visitors and students and this is how they make extra money the place is very old and looks like less maintenance been carried over the years to upgrade  modernize the college kings has a particularly distinguished reputation in the humanities law the sciences and all the things you see around as you walk is very evident kings college london holds a student visa license issued by ukvi that allows to bring overseas students into the uk to study so most of the overseas students on a programme of  months or more will need this visa and its quite expensive there is a lot to see at the campus like the chapel roman bath  the vault i wished if the college was more open to welcome other students of all walks of life
georgia institute of technology,1698973286,"""environment,exciting,dynamic,education,topnotch""",POSITIVE,i recently visited georgia institute of technology and was impressed with the campus and facilities the campus is large and wellmaintained with a mix of historic and modern buildings that create a unique and interesting atmosphere the technology and resources available to students are impressive and the faculty and staff are knowledgeable and supportive the campus also has a vibrant and diverse student body with plenty of clubs and activities to get involved in overall i highly recommend georgia institute of technology to anyone looking for a topnotch education in a dynamic and exciting environment
northwestern university,1698973308,"""perfect,day,plain,yes,sailing""",POSITIVE,this summer sunshine golden beach and surfing people gave me an illusion that northwestern university has a campus towards the vast ocean but in fact it just next to the michigan lake when i came here in the early morning this beautiful campus was in tranquility and peace some people playing beach volleyball and sand statues some surfing and sailing yes its just one plain day but also one perfect day perfect campus
northwestern university,1698973309,"""racks,bike,lots,options,dining""",POSITIVE,amazingly beautiful campus on lake michigan great mix of old and modern buildings good dining options lots of bike racks
